Term,TF,DF,IDF,TF-IDF,Total Sentimen Positive,Total Sentimen Negative
camat,1,2,1.4771212547196624,1.4771212547196624,1,0
nikmat,1,4,1.1760912590556813,1.1760912590556813,2,0
lobster,1,2,1.4771212547196624,1.4771212547196624,1,0
rawa,2,2,1.4771212547196624,2.9542425094393248,1,0
bakar,1,4,1.1760912590556813,1.1760912590556813,1,1
pening,1,2,1.4771212547196624,1.4771212547196624,1,0
depresi,1,2,1.4771212547196624,1.4771212547196624,0,1
pria,1,2,1.4771212547196624,1.4771212547196624,0,1
siaga,1,2,1.4771212547196624,1.4771212547196624,0,1
asap,1,2,1.4771212547196624,1.4771212547196624,0,1
tambang,1,2,1.4771212547196624,1.4771212547196624,0,1
marak,1,2,1.4771212547196624,1.4771212547196624,0,1
harus,1,2,1.4771212547196624,1.4771212547196624,0,1
legalitas,1,2,1.4771212547196624,1.4771212547196624,0,1
rawan,1,2,1.4771212547196624,1.4771212547196624,0,1
apar,1,2,1.4771212547196624,1.4771212547196624,0,1
emas,1,2,1.4771212547196624,1.4771212547196624,1,0
dukung,1,2,1.4771212547196624,1.4771212547196624,1,0
rekonstruksi,1,2,1.4771212547196624,1.4771212547196624,0,1
kasus,1,2,1.4771212547196624,1.4771212547196624,0,1
taksi,1,2,1.4771212547196624,1.4771212547196624,0,1
raih,1,2,1.4771212547196624,1.4771212547196624,1,0
menang,1,2,1.4771212547196624,1.4771212547196624,1,0
persik,1,2,1.4771212547196624,1.4771212547196624,1,0
manfaat,1,2,1.4771212547196624,1.4771212547196624,1,0
absen,1,2,1.4771212547196624,1.4771212547196624,1,0
gotong,1,2,1.4771212547196624,1.4771212547196624,1,0
sawah,1,4,1.1760912590556813,1.1760912590556813,2,0
gaet,1,2,1.4771212547196624,1.4771212547196624,1,0
investor,1,2,1.4771212547196624,1.4771212547196624,1,0
buat,1,3,1.3010299956639813,1.3010299956639813,1,0
insentif,1,2,1.4771212547196624,1.4771212547196624,1,0
luka,2,2,1.4771212547196624,2.9542425094393248,0,1
racik,1,2,1.4771212547196624,1.4771212547196624,0,1
edar,1,2,1.4771212547196624,1.4771212547196624,0,1
kosmetik,1,2,1.4771212547196624,1.4771212547196624,0,1
soto,1,2,1.4771212547196624,1.4771212547196624,1,0
organik,1,2,1.4771212547196624,1.4771212547196624,1,0
murah,1,2,1.4771212547196624,1.4771212547196624,1,0
animasi,1,1,1.7781512503836436,1.7781512503836436,0,0
cegah,1,1,1.7781512503836436,1.7781512503836436,0,0
banjir,1,1,1.7781512503836436,1.7781512503836436,0,0
bacok,1,1,1.7781512503836436,1.7781512503836436,0,0
guru,1,1,1.7781512503836436,1.7781512503836436,0,0
semester,1,1,1.7781512503836436,1.7781512503836436,0,0
