Term,TF,DF,IDF,TF-IDF,Total Dokumen Sentimen Positive,Total Sentimen Negative
ikhtiar,1,1,3.22994,3.22994,1,0
hadap,1,13,2.11599,2.11599,7,6
kemarau,1,10,2.22994,2.22994,5,5
gelar,1,62,1.43755,1.43755,51,11
minta,1,34,1.69846,1.69846,8,26
hujan,1,10,2.22994,2.22994,4,6
panas,1,9,2.27570,2.2757,1,8
bikin,1,5,2.53097,2.53097,2,3
manfaat,1,3,2.75282,2.75282,2,1
cahaya,1,1,3.22994,3.22994,0,1
matahari,1,1,3.22994,3.22994,0,1
asak,1,1,3.22994,3.22994,0,1
nyata,1,10,2.22994,2.22994,2,8
matang,1,1,3.22994,3.22994,0,1
tewas,1,59,1.45909,1.45909,0,59
nilai,1,3,2.75282,2.75282,2,1
menang,1,19,1.95118,1.95118,13,6
mahal,1,13,2.11599,2.11599,0,13
hilang,1,4,2.62788,2.62788,0,4
edar,1,7,2.38484,2.38484,0,7
siasat,1,1,3.22994,3.22994,0,1
temu,1,48,1.54870,1.5487,8,40
serah,1,13,2.11599,2.11599,4,9
uang,1,12,2.15076,2.15076,5,7
ketua,1,14,2.08381,2.08381,2,12
periksa,1,22,1.88752,1.88752,2,20
kait,1,6,2.45179,2.45179,0,6
peras,1,8,2.32685,2.32685,0,8
pimpin,1,15,2.05385,2.05385,5,10
peran,1,2,2.92891,2.92891,0,2
usul,1,2,2.92891,2.92891,2,0
pilih,1,10,2.22994,2.22994,8,2
sepakat,1,2,2.92891,2.92891,2,0
indra,1,14,2.08381,2.08381,8,6
damping,1,4,2.62788,2.62788,3,1
metro,1,4,2.62788,2.62788,0,4
saksi,1,17,1.99949,1.99949,1,16
duga,1,35,1.68587,1.68587,0,35
fakta,1,5,2.53097,2.53097,1,4
pernah,1,5,2.53097,2.53097,2,3
kasus,1,50,1.53097,1.53097,0,50
lompat,1,3,2.75282,2.75282,0,3
buka,1,43,1.59647,1.59647,36,7
relawan,1,10,2.22994,2.22994,10,0
juang,1,1,3.22994,3.22994,1,0
dukung,1,18,1.97467,1.97467,17,1
aman,1,25,1.83200,1.832,20,5
intensif,1,2,2.92891,2.92891,1,1
koordinasi,1,1,3.22994,3.22994,1,0
gera,1,4,2.62788,2.62788,4,0
pangan,1,9,2.27570,2.2757,6,3
murah,1,10,2.22994,2.22994,10,0
bagi,1,31,1.73858,1.73858,25,6
gratis,1,15,2.05385,2.05385,15,0
dagang,1,29,1.76754,1.76754,12,17
pakai,1,7,2.38484,2.38484,3,4
tuju,1,4,2.62788,2.62788,2,2
tutup,1,6,2.45179,2.45179,2,4
teman,1,7,2.38484,2.38484,3,4
bantah,1,8,2.32685,2.32685,0,8
bakar,1,33,1.71142,1.71142,5,28
belum,1,24,1.84973,1.84973,4,20
padam,1,6,2.45179,2.45179,0,6
tan,1,4,2.62788,2.62788,2,2
gaet,1,4,2.62788,2.62788,4,0
pan,1,2,2.92891,2.92891,2,0
pesta,1,3,2.75282,2.75282,2,1
sepi,1,3,2.75282,2.75282,0,3
klub,1,1,3.22994,3.22994,0,1
patungan,1,1,3.22994,3.22994,0,1
panggil,1,7,2.38484,2.38484,1,6
jaya,1,1,3.22994,3.22994,0,1
layan,1,9,2.27570,2.2757,9,0
kendali,1,3,2.75282,2.75282,2,1
tumbuh,1,7,2.38484,2.38484,7,0
duduk,1,6,2.45179,2.45179,6,0
rawan,1,3,2.75282,2.75282,0,3
jual,1,25,1.83200,1.832,11,14
apar,1,1,3.22994,3.22994,0,1
naik,1,46,1.56718,1.56718,16,30
lopor,1,2,2.92891,2.92891,2,0
laju,1,1,3.22994,3.22994,1,0
tulis,1,1,3.22994,3.22994,1,0
komitmen,1,1,3.22994,3.22994,1,0
anti,1,5,2.53097,2.53097,3,2
korupsi,1,3,2.75282,2.75282,2,1
pecah,1,6,2.45179,2.45179,4,2
rekor,1,4,2.62788,2.62788,3,1
berkah,1,8,2.32685,2.32685,8,0
dingin,1,2,2.92891,2.92891,1,1
laris,1,4,2.62788,2.62788,4,0
darurat,1,4,2.62788,2.62788,2,2
kering,1,7,2.38484,2.38484,2,5
januari,1,1,3.22994,3.22994,0,1
festival,1,11,2.18855,2.18855,11,0
kreasi,1,1,3.22994,3.22994,1,0
bahan,1,10,2.22994,2.22994,4,6
pokok,1,5,2.53097,2.53097,2,3
suhu,1,5,2.53097,2.53097,1,4
siang,1,4,2.62788,2.62788,3,1
waspada,1,11,2.18855,2.18855,1,10
papar,1,1,3.22994,3.22994,0,1
sinar,1,1,3.22994,3.22994,0,1
terik,1,1,3.22994,3.22994,0,1
prediksi,1,4,2.62788,2.62788,3,1
indeks,1,2,2.92891,2.92891,1,1
ekstrem,1,3,2.75282,2.75282,1,2
besar,1,11,2.18855,2.18855,8,3
wilayah,1,10,2.22994,2.22994,4,6
keluh,1,6,2.45179,2.45179,0,6
musim,1,6,2.45179,2.45179,5,1
turun,1,20,1.92891,1.92891,3,17
rekap,1,2,2.92891,2.92891,1,1
hasil,1,27,1.79857,1.79857,11,16
dewa,1,3,2.75282,2.75282,2,1
tekuk,1,1,3.22994,3.22994,1,0
sore,1,4,2.62788,2.62788,3,1
kalah,1,6,2.45179,2.45179,0,6
persis,1,5,2.53097,2.53097,0,5
solo,1,43,1.59647,1.59647,2,41
tahan,1,8,2.32685,2.32685,4,4
imbang,1,5,2.53097,2.53097,1,4
kali,1,5,2.53097,2.53097,3,2
landa,1,3,2.75282,2.75282,0,3
zona,1,3,2.75282,2.75282,0,3
aktif,1,3,2.75282,2.75282,0,3
ternak,1,5,2.53097,2.53097,3,2
tolak,1,8,2.32685,2.32685,0,8
relokasi,1,5,2.53097,2.53097,1,4
berat,1,4,2.62788,2.62788,0,4
terjun,1,6,2.45179,2.45179,1,5
seru,1,8,2.32685,2.32685,7,1
versus,1,32,1.72479,1.72479,2,30
unjung,1,5,2.53097,2.53097,4,1
lampau,1,2,2.92891,2.92891,2,0
target,1,13,2.11599,2.11599,10,3
sosialisasi,1,5,2.53097,2.53097,5,0
jelang,1,28,1.78278,1.78278,19,9
saling,1,2,2.92891,2.92891,0,2
sikut,1,1,3.22994,3.22994,0,1
poin,1,1,3.22994,3.22994,0,1
luang,1,1,3.22994,3.22994,1,0
itik,1,1,3.22994,3.22994,1,0
libat,1,11,2.18855,2.18855,1,10
celaka,1,81,1.32145,1.32145,5,76
mud,1,4,2.62788,2.62788,1,3
adu,1,9,2.27570,2.2757,3,6
mulut,1,2,2.92891,2.92891,1,1
rajin,1,5,2.53097,2.53097,4,1
rogok,1,1,3.22994,3.22994,0,1
kocek,1,1,3.22994,3.22994,0,1
sukses,1,10,2.22994,2.22994,10,0
laku,1,86,1.29544,1.29544,7,79
tangkap,1,31,1.73858,1.73858,2,29
operasi,1,6,2.45179,2.45179,2,4
sikat,1,3,2.75282,2.75282,1,2
awat,1,2,2.92891,2.92891,0,2
restorasi,1,1,3.22994,3.22994,0,1
koleksi,1,3,2.75282,2.75282,2,1
rusak,1,9,2.27570,2.2757,2,7
tembus,1,14,2.08381,2.08381,3,11
telur,1,13,2.11599,2.11599,0,13
mulai,1,25,1.83200,1.832,14,11
prakira,1,6,2.45179,2.45179,4,2
cerah,1,3,2.75282,2.75282,3,0
awan,1,2,2.92891,2.92891,2,0
ringan,1,3,2.75282,2.75282,1,2
dampak,1,13,2.11599,2.11599,0,13
serang,1,3,2.75282,2.75282,0,3
diare,1,3,2.75282,2.75282,0,3
keluarga,1,9,2.27570,2.2757,2,7
brigadir,1,1,3.22994,3.22994,1,0
akan,1,19,1.95118,1.95118,8,11
kirim,1,2,2.92891,2.92891,2,0
ham,1,4,2.62788,2.62788,1,3
narkoba,1,8,2.32685,2.32685,0,8
perang,1,8,2.32685,2.32685,8,0
rundung,1,1,3.22994,3.22994,1,0
ajak,1,13,2.11599,2.11599,13,0
kreatif,1,3,2.75282,2.75282,3,0
karya,1,21,1.90772,1.90772,21,0
sakit,1,14,2.08381,2.08381,2,12
tingkat,1,13,2.11599,2.11599,8,5
payung,1,1,3.22994,3.22994,0,1
putih,1,5,2.53097,2.53097,1,4
andang,1,4,2.62788,2.62788,4,0
obesitas,1,1,3.22994,3.22994,1,0
harus,1,18,1.97467,1.97467,12,6
pesona,1,1,3.22994,3.22994,1,0
produk,1,9,2.27570,2.2757,9,0
lestari,1,5,2.53097,2.53097,5,0
budaya,1,14,2.08381,2.08381,14,0
tari,1,6,2.45179,2.45179,6,0
sufi,1,1,3.22994,3.22994,1,0
riah,1,13,2.11599,2.11599,13,0
maulid,1,2,2.92891,2.92891,2,0
nabi,1,2,2.92891,2.92891,2,0
pamer,1,17,1.99949,1.99949,17,0
unggul,1,2,2.92891,2.92891,2,0
seni,1,9,2.27570,2.2757,9,0
tradisional,1,12,2.15076,2.15076,6,6
belanja,1,1,3.22994,3.22994,1,0
dana,1,5,2.53097,2.53097,4,1
miliar,1,11,2.18855,2.18855,7,4
tanam,2,12,2.15076,4.30152,12,0
toga,1,1,3.22994,3.22994,1,0
skor,1,1,3.22994,3.22994,0,1
kendara,1,19,1.95118,1.95118,5,14
tumpuk,1,1,3.22994,3.22994,0,1
ungar,1,5,2.53097,2.53097,2,3
bus,1,4,2.62788,2.62788,1,3
ramal,1,1,3.22994,3.22994,1,0
september,1,3,2.75282,2.75282,1,2
udara,1,3,2.75282,2.75282,3,0
netralitas,1,3,2.75282,2.75282,2,1
kena,1,6,2.45179,2.45179,3,3
sanksi,1,2,2.92891,2.92891,1,1
moral,1,1,3.22994,3.22994,0,1
pecat,1,1,3.22994,3.22994,0,1
kolonel,1,1,3.22994,3.22994,1,0
resmi,1,12,2.15076,2.15076,9,3
jabat,1,6,2.45179,2.45179,3,3
stabil,1,5,2.53097,2.53097,4,1
perintah,1,11,2.18855,2.18855,8,3
salat,1,6,2.45179,2.45179,5,1
mohon,1,2,2.92891,2.92891,1,1
siap,1,37,1.66174,1.66174,33,4
anggar,1,3,2.75282,2.75282,2,1
salur,1,8,2.32685,2.32685,5,3
buang,1,1,3.22994,3.22994,0,1
jenazah,1,8,2.32685,2.32685,0,8
ambang,1,3,2.75282,2.75282,0,3
labuh,1,13,2.11599,2.11599,7,6
bacok,1,3,2.75282,2.75282,0,3
guru,1,12,2.15076,2.15076,6,6
bantu,1,24,1.84973,1.84973,12,12
sosok,1,5,2.53097,2.53097,1,4
mayat,1,23,1.86821,1.86821,0,23
pria,1,15,2.05385,2.05385,3,12
misterius,1,1,3.22994,3.22994,0,1
tanjung,1,9,2.27570,2.2757,6,3
emas,1,11,2.18855,2.18855,8,3
tanpa,1,9,2.27570,2.2757,2,7
identitas,1,6,2.45179,2.45179,1,5
apung,1,1,3.22994,3.22994,0,1
simulasi,1,3,2.75282,2.75282,3,0
normal,1,4,2.62788,2.62788,2,2
borong,1,2,2.92891,2.92891,2,0
sehat,2,14,2.08381,4.16762,14,0
suguh,1,1,3.22994,3.22994,1,0
aneka,1,2,2.92891,2.92891,2,0
fasilitas,1,7,2.38484,2.38484,7,0
nal,1,3,2.75282,2.75282,1,2
senam,1,3,2.75282,2.75282,3,0
tera,1,1,3.22994,3.22994,1,0
olah,1,11,2.18855,2.18855,5,6
raga,1,2,2.92891,2.92891,2,0
usia,1,6,2.45179,2.45179,2,4
tinjau,1,3,2.75282,2.75282,2,1
tinggi,1,16,2.02582,2.02582,9,7
edukasi,1,3,2.75282,2.75282,3,0
gigi,2,3,2.75282,5.50564,2,1
pasta,1,1,3.22994,3.22994,1,0
tanggap,1,2,2.92891,2.92891,2,0
unjuk,1,3,2.75282,2.75282,3,0
maut,1,22,1.88752,1.88752,0,22
sangka,1,24,1.84973,1.84973,0,24
semester,1,2,2.92891,2.92891,0,2
partai,1,6,2.45179,2.45179,4,2
buruh,1,5,2.53097,2.53097,0,5
dongeng,1,1,3.22994,3.22994,1,0
islami,1,1,3.22994,3.22994,1,0
beda,1,3,2.75282,2.75282,1,2
lari,1,5,2.53097,2.53097,1,4
respon,1,1,3.22994,3.22994,1,0
dekat,1,4,2.62788,2.62788,3,1
logistik,1,1,3.22994,3.22994,1,0
genjot,1,5,2.53097,2.53097,5,0
terima,1,19,1.95118,1.95118,11,8
faktor,1,3,2.75282,2.75282,1,2
geografis,1,1,3.22994,3.22994,1,0
rela,1,6,2.45179,2.45179,6,0
jemput,1,3,2.75282,2.75282,3,0
kompas,1,1,3.22994,3.22994,1,0
desember,1,1,3.22994,3.22994,1,0
catat,1,2,2.92891,2.92891,2,0
tanggal,1,3,2.75282,2.75282,2,1
super,1,1,3.22994,3.22994,0,1
henti,1,2,2.92891,2.92891,0,2
korban,1,73,1.36661,1.36661,2,71
kronologi,1,28,1.78278,1.78278,0,28
rem,1,6,2.45179,2.45179,0,6
blong,1,6,2.45179,2.45179,0,6
lampung,1,1,3.22994,3.22994,0,1
selamat,1,26,1.81496,1.81496,18,8
tabrak,1,68,1.39743,1.39743,4,64
motor,1,19,1.95118,1.95118,5,14
luka,2,8,2.32685,4.6537,0,8
lengkap,1,6,2.45179,2.45179,2,4
kondisi,1,15,2.05385,2.05385,4,11
kini,1,11,2.18855,2.18855,2,9
keras,1,11,2.18855,2.18855,2,9
belas,1,3,2.75282,2.75282,1,2
ledak,1,7,2.38484,2.38484,0,7
akses,1,2,2.92891,2.92891,0,2
masuk,1,9,2.27570,2.2757,6,3
sampah,1,5,2.53097,2.53097,3,2
usaha,1,15,2.05385,2.05385,7,8
api,1,38,1.65015,1.65015,3,35
salip,1,1,3.22994,3.22994,0,1
bangkit,1,3,2.75282,2.75282,3,0
tangki,1,6,2.45179,2.45179,1,5
siaga,1,3,2.75282,2.75282,1,2
asap,1,3,2.75282,2.75282,0,3
tambang,1,2,2.92891,2.92891,0,2
ilegal,1,8,2.32685,2.32685,0,8
marak,1,6,2.45179,2.45179,3,3
legalitas,1,1,3.22994,3.22994,0,1
pejal,1,1,3.22994,3.22994,0,1
kaki,1,2,2.92891,2.92891,0,2
jaga,1,14,2.08381,2.08381,11,3
piala,1,5,2.53097,2.53097,4,1
bayar,1,2,2.92891,2.92891,0,2
seleksi,1,5,2.53097,2.53097,4,1
tangkal,1,2,2.92891,2.92891,1,1
radikalisme,1,1,3.22994,3.22994,1,0
nyala,1,1,3.22994,3.22994,0,1
sisi,1,1,3.22994,3.22994,0,1
utara,1,1,3.22994,3.22994,0,1
legit,1,2,2.92891,2.92891,2,0
banget,1,2,2.92891,2.92891,2,0
limut,1,1,3.22994,3.22994,0,1
bau,1,3,2.75282,2.75282,0,3
sengat,1,1,3.22994,3.22994,0,1
gelontor,1,5,2.53097,2.53097,4,1
ecer,1,2,2.92891,2.92891,1,1
stok,1,9,2.27570,2.2757,8,1
libur,1,6,2.45179,2.45179,5,1
efek,1,3,2.75282,2.75282,2,1
hewan,1,14,2.08381,2.08381,11,3
ular,1,1,3.22994,3.22994,1,0
rabies,1,2,2.92891,2.92891,2,0
suntik,1,1,3.22994,3.22994,1,0
vaksin,1,3,2.75282,2.75282,3,0
spesialis,1,1,3.22994,3.22994,1,0
urologi,1,1,3.22994,3.22994,1,0
bakti,1,2,2.92891,2.92891,2,0
sosial,1,9,2.27570,2.2757,4,5
aksi,1,21,1.90772,1.90772,8,13
bersih,2,13,2.11599,4.23198,12,1
aktivitas,1,1,3.22994,3.22994,0,1
upaya,1,4,2.62788,2.62788,2,2
kiai,1,2,2.92891,2.92891,1,1
gadungan,1,2,2.92891,2.92891,0,2
perkosa,1,5,2.53097,2.53097,0,5
pop,1,2,2.92891,2.92891,0,2
galang,1,1,3.22994,3.22994,1,0
peduli,1,6,2.45179,2.45179,6,0
gempa,1,4,2.62788,2.62788,4,0
pertama,1,6,2.45179,2.45179,6,0
ilmu,1,2,2.92891,2.92891,2,0
arsitektur,1,1,3.22994,3.22994,1,0
layang,2,2,2.92891,5.85782,2,0
raup,1,6,2.45179,2.45179,6,0
untung,1,4,2.62788,2.62788,4,0
lurah,1,7,2.38484,2.38484,6,1
hapus,1,2,2.92891,2.92891,0,2
rias,1,3,2.75282,2.75282,1,2
wajah,1,4,2.62788,2.62788,1,3
alih,1,4,2.62788,2.62788,1,3
medium,1,2,2.92891,2.92891,0,2
tirta,1,1,3.22994,3.22994,1,0
bijak,1,2,2.92891,2.92891,1,1
murid,1,3,2.75282,2.75282,3,0
harap,1,13,2.11599,2.11599,9,4
baik,1,18,1.97467,1.97467,14,4
curi,1,23,1.86821,1.86821,0,23
kotak,1,3,2.75282,2.75282,0,3
amal,1,3,2.75282,2.75282,0,3
masjid,1,9,2.27570,2.2757,4,5
joli,1,2,2.92891,2.92891,0,2
amuk,1,2,2.92891,2.92891,0,2
enak,1,4,2.62788,2.62788,2,2
resep,1,1,3.22994,3.22994,1,0
puluh,1,7,2.38484,2.38484,3,4
bukti,1,4,2.62788,2.62788,0,4
bu,1,2,2.92891,2.92891,2,0
kuliner,1,5,2.53097,2.53097,5,0
legendaris,1,3,2.75282,2.75282,3,0
tidak,1,9,2.27570,2.2757,4,5
putus,1,4,2.62788,2.62788,1,3
generasi,1,2,2.92891,2.92891,1,1
ancam,1,15,2.05385,2.05385,1,14
bangsa,1,1,3.22994,3.22994,0,1
layak,1,9,2.27570,2.2757,8,1
taraf,1,2,2.92891,2.92891,2,0
aniaya,1,13,2.11599,2.11599,0,13
depresi,1,1,3.22994,3.22994,0,1
nekat,1,8,2.32685,2.32685,0,8
razia,1,2,2.92891,2.92891,1,1
siswi,1,1,3.22994,3.22994,0,1
pasrah,1,1,3.22994,3.22994,0,1
rugi,1,6,2.45179,2.45179,0,6
rokok,1,2,2.92891,2.92891,0,2
musnah,1,4,2.62788,2.62788,0,4
balas,1,4,2.62788,2.62788,0,4
awas,1,9,2.27570,2.2757,2,7
persen,1,10,2.22994,2.22994,9,1
lembar,1,1,3.22994,3.22994,1,0
program,1,5,2.53097,2.53097,5,0
distribusi,1,3,2.75282,2.75282,1,2
cipta,1,14,2.08381,2.08381,10,4
becak,1,1,3.22994,3.22994,1,0
listrik,1,5,2.53097,2.53097,3,2
ramah,1,2,2.92891,2.92891,2,0
lingkung,1,3,2.75282,2.75282,3,0
ku,1,1,3.22994,3.22994,1,0
apresiasi,1,8,2.32685,2.32685,7,1
bincang,1,1,3.22994,3.22994,1,0
kurir,1,1,3.22994,3.22994,0,1
akhir,1,11,2.18855,2.18855,2,9
omzet,1,4,2.62788,2.62788,3,1
pajak,1,5,2.53097,2.53097,4,1
tampil,1,6,2.45179,2.45179,6,0
desain,1,2,2.92891,2.92891,2,0
digital,1,7,2.38484,2.38484,7,0
pianis,1,1,3.22994,3.22994,1,0
piano,1,1,3.22994,3.22994,1,0
klasik,1,1,3.22994,3.22994,1,0
kostum,1,3,2.75282,2.75282,3,0
karnaval,1,1,3.22994,3.22994,1,0
pulih,1,1,3.22994,3.22994,0,1
bangun,1,16,2.02582,2.02582,11,5
rekam,1,13,2.11599,2.11599,1,12
batas,1,9,2.27570,2.2757,3,6
minimal,1,1,3.22994,3.22994,0,1
tunggu,1,4,2.62788,2.62788,1,3
raih,1,16,2.02582,2.02582,16,0
hut,1,15,2.05385,2.05385,13,2
kontes,1,1,3.22994,3.22994,1,0
lidi,1,1,3.22994,3.22994,1,0
indah,1,13,2.11599,2.11599,6,7
kuat,1,8,2.32685,2.32685,8,0
energi,1,1,3.22994,3.22994,1,0
tekan,1,10,2.22994,2.22994,7,3
polusi,1,1,3.22994,3.22994,1,0
daftar,2,16,2.02582,4.05164,15,1
stasiun,1,7,2.38484,2.38484,3,4
cetak,1,2,2.92891,2.92891,1,1
jiwa,1,7,2.38484,2.38484,2,5
kampus,1,9,2.27570,2.2757,6,3
nikmat,1,10,2.22994,2.22994,10,0
sensasi,1,2,2.92891,2.92891,2,0
pikir,1,1,3.22994,3.22994,1,0
pondok,1,2,2.92891,2.92891,1,1
sawah,1,3,2.75282,2.75282,3,0
gersang,1,1,3.22994,3.22994,1,0
tani,1,8,2.32685,2.32685,8,0
semangka,1,1,3.22994,3.22994,1,0
jagung,1,2,2.92891,2.92891,2,0
latih,1,9,2.27570,2.2757,8,1
asi,1,1,3.22994,3.22994,1,0
copot,1,4,2.62788,2.62788,0,4
buntut,1,2,2.92891,2.92891,0,2
spesial,1,1,3.22994,3.22994,1,0
baca,1,1,3.22994,3.22994,1,0
berita,1,1,3.22994,3.22994,1,0
kakek,1,1,3.22994,3.22994,1,0
seniman,1,2,2.92891,2.92891,2,0
patung,1,1,3.22994,3.22994,1,0
gulai,1,1,3.22994,3.22994,1,0
kapasitas,1,1,3.22994,3.22994,0,1
liter,1,7,2.38484,2.38484,3,4
angka,1,6,2.45179,2.45179,5,1
satelit,1,1,3.22994,3.22994,1,0
kamera,1,1,3.22994,3.22994,0,1
leceh,1,2,2.92891,2.92891,0,2
izin,1,6,2.45179,2.45179,1,5
pengaruh,1,2,2.92891,2.92891,0,2
non,1,1,3.22994,3.22994,0,1
subsidi,1,2,2.92891,2.92891,0,2
fakultas,1,3,2.75282,2.75282,1,2
tinggal,1,22,1.88752,1.88752,3,19
kontra,1,1,3.22994,3.22994,0,1
selidik,1,6,2.45179,2.45179,0,6
baco,1,3,2.75282,2.75282,0,3
donasi,1,1,3.22994,3.22994,1,0
ajar,1,13,2.11599,2.11599,12,1
sidang,1,3,2.75282,2.75282,1,2
agustus,1,4,2.62788,2.62788,2,2
denda,1,2,2.92891,2.92891,0,2
pamit,1,5,2.53097,2.53097,1,4
racik,1,1,3.22994,3.22994,0,1
kosmetik,1,1,3.22994,3.22994,0,1
momen,1,12,2.15076,2.15076,8,4
haru,1,3,2.75282,2.75282,0,3
istri,1,8,2.32685,2.32685,2,6
leleh,1,1,3.22994,3.22994,0,1
gadis,1,1,3.22994,3.22994,0,1
belia,1,1,3.22994,3.22994,0,1
tegal,1,5,2.53097,2.53097,2,3
kulit,1,2,2.92891,2.92891,1,1
langka,1,4,2.62788,2.62788,0,4
butuh,1,6,2.45179,2.45179,3,3
humas,2,4,2.62788,5.25576,4,0
bekal,1,4,2.62788,2.62788,4,0
reputasi,1,1,3.22994,3.22994,1,0
percaya,1,3,2.75282,2.75282,1,2
lelah,1,4,2.62788,2.62788,2,2
jijik,1,1,3.22994,3.22994,1,0
debat,1,3,2.75282,2.75282,1,2
politik,1,8,2.32685,2.32685,8,0
gaung,1,1,3.22994,3.22994,1,0
damai,1,9,2.27570,2.2757,7,2
progresif,1,2,2.92891,2.92891,2,0
sudut,1,2,2.92891,2.92891,2,0
ganggu,1,6,2.45179,2.45179,0,6
anggur,1,1,3.22994,3.22994,1,0
didik,1,7,2.38484,2.38484,7,0
ikan,1,4,2.62788,2.62788,4,0
merdeka,1,7,2.38484,2.38484,7,0
hadir,1,21,1.90772,1.90772,19,2
acara,1,4,2.62788,2.62788,3,1
hindar,1,3,2.75282,2.75282,3,0
sih,1,4,2.62788,2.62788,2,2
lepas,1,6,2.45179,2.45179,5,1
republik,1,1,3.22994,3.22994,0,1
batik,2,2,2.92891,5.85782,2,0
beasiswa,1,1,3.22994,3.22994,1,0
wajib,1,4,2.62788,2.62788,2,2
cemburu,1,2,2.92891,2.92891,0,2
tega,1,2,2.92891,2.92891,0,2
tusuk,1,3,2.75282,2.75282,1,2
suami,1,6,2.45179,2.45179,2,4
palu,1,1,3.22994,3.22994,1,0
kapal,1,18,1.97467,1.97467,16,2
ganti,1,5,2.53097,2.53097,1,4
puji,1,8,2.32685,2.32685,7,1
inisiasi,1,1,3.22994,3.22994,1,0
alas,1,13,2.11599,2.11599,2,11
rintis,1,3,2.75282,2.75282,3,0
keren,1,3,2.75282,2.75282,3,0
rawat,1,1,3.22994,3.22994,1,0
keris,1,2,2.92891,2.92891,2,0
kampanye,1,7,2.38484,2.38484,4,3
larang,1,11,2.18855,2.18855,2,9
cari,1,3,2.75282,2.75282,1,2
bibit,1,4,2.62788,2.62788,4,0
basket,1,1,3.22994,3.22994,1,0
laga,1,10,2.22994,2.22994,4,6
tengkar,1,1,3.22994,3.22994,0,1
bunga,1,2,2.92891,2.92891,2,0
cantik,1,6,2.45179,2.45179,6,0
perempuan,1,12,2.15076,2.15076,5,7
bek,1,1,3.22994,3.22994,1,0
wahyu,1,1,3.22994,3.22994,1,0
cekcok,1,3,2.75282,2.75282,1,2
dongkrak,1,1,3.22994,3.22994,1,0
parade,1,5,2.53097,2.53097,5,0
hias,1,5,2.53097,2.53097,5,0
tabur,1,2,2.92891,2.92891,1,1
bawa,1,6,2.45179,2.45179,2,4
arus,1,18,1.97467,1.97467,15,3
pidato,1,2,2.92891,2.92891,0,2
seruduk,1,2,2.92891,2.92891,0,2
hambat,1,2,2.92891,2.92891,0,2
maju,1,5,2.53097,2.53097,3,2
konsolidasi,1,2,2.92891,2.92891,0,2
belah,1,3,2.75282,2.75282,2,1
budiman,1,2,2.92891,2.92891,2,0
sudah,1,14,2.08381,2.08381,7,7
selesai,1,1,3.22994,3.22994,1,0
urus,1,3,2.75282,2.75282,3,0
tuan,1,4,2.62788,2.62788,2,2
puncak,1,5,2.53097,2.53097,5,0
ramai,1,5,2.53097,2.53097,5,0
rukun,1,6,2.45179,2.45179,6,0
camat,1,4,2.62788,2.62788,2,2
strategi,1,4,2.62788,2.62788,4,0
kandang,1,4,2.62788,2.62788,3,1
banteng,1,3,2.75282,2.75282,2,1
dorong,1,9,2.27570,2.2757,9,0
optimal,1,2,2.92891,2.92891,1,1
persik,1,1,3.22994,3.22994,1,0
absen,1,2,2.92891,2.92891,1,1
paguyuban,1,1,3.22994,3.22994,1,0
hukum,1,4,2.62788,2.62788,3,1
kumpul,1,5,2.53097,2.53097,3,2
koin,1,4,2.62788,2.62788,3,1
miskin,1,6,2.45179,2.45179,1,5
krisis,1,2,2.92891,2.92891,1,1
estafet,1,1,3.22994,3.22994,1,0
mata,1,6,2.45179,2.45179,1,5
basmi,1,1,3.22994,3.22994,1,0
hama,1,1,3.22994,3.22994,1,0
tikus,1,3,2.75282,2.75282,2,1
meja,1,2,2.92891,2.92891,2,0
optimis,1,4,2.62788,2.62788,4,0
investasi,1,4,2.62788,2.62788,4,0
saing,1,1,3.22994,3.22994,1,0
rakit,1,1,3.22994,3.22994,0,1
senjata,1,3,2.75282,2.75282,1,2
jamu,1,2,2.92891,2.92891,2,0
makam,1,9,2.27570,2.2757,4,5
rusuh,1,2,2.92891,2.92891,0,2
caci,1,1,3.22994,3.22994,1,0
bala,1,1,3.22994,3.22994,0,1
delegasi,1,1,3.22994,3.22994,1,0
inovasi,1,8,2.32685,2.32685,8,0
lempar,1,2,2.92891,2.92891,1,1
bandung,1,38,1.65015,1.65015,35,3
gotong,1,2,2.92891,2.92891,1,1
cegah,1,33,1.71142,1.71142,28,5
tindak,1,5,2.53097,2.53097,4,1
jahat,1,3,2.75282,2.75282,2,1
luncur,1,6,2.45179,2.45179,5,1
aplikasi,1,7,2.38484,2.38484,6,1
tukang,1,1,3.22994,3.22994,0,1
servis,1,1,3.22994,3.22994,0,1
modifikasi,1,3,2.75282,2.75282,2,1
teroris,1,1,3.22994,3.22994,0,1
de,1,1,3.22994,3.22994,0,1
lawan,1,6,2.45179,2.45179,4,2
evaluasi,1,2,2.92891,2.92891,1,1
baju,1,3,2.75282,2.75282,3,0
adat,1,1,3.22994,3.22994,1,0
maaf,1,7,2.38484,2.38484,0,7
pahlawan,1,1,3.22994,3.22994,0,1
upacara,1,4,2.62788,2.62788,2,2
remisi,1,1,3.22994,3.22994,1,0
titip,1,1,3.22994,3.22994,1,0
narapidana,1,1,3.22994,3.22994,1,0
lansia,1,4,2.62788,2.62788,2,2
khas,1,6,2.45179,2.45179,6,0
kompak,1,3,2.75282,2.75282,3,0
pukau,1,2,2.92891,2.92891,2,0
nyanyi,1,1,3.22994,3.22994,1,0
simfoni,1,1,3.22994,3.22994,1,0
istana,1,3,2.75282,2.75282,2,1
